,smape,mape,mse,rmse,r2_score,mae
LinearRegressionModel_with_weather,6.151611357927322,6.04630783200264,72757.34375,269.7356872558594,0.8527497053146362,198.87286376953125
LightGBMModel_with_weather,6.376456667977042,6.190842027505622,77454.47127815615,278.30643413000024,0.8599729373734113,207.49835306247073
XGBModel_with_weather,9.001641720533371,8.548949658870697,134572.859375,366.84173583984375,0.7194013893604279,289.5568542480469
LinearRegressionModel_w/o_weather,5.972499772906303,5.99934458732605,73150.1640625,270.4628601074219,0.8515327125787735,194.3523406982422
LightGBMModel_w/o_weather,6.306702571749817,6.184198795117649,77760.92139250554,278.8564530228869,0.8484472833549304,204.91130805798764
XGBModel_w/o_weather,7.5785331428050995,7.434797286987305,117513.796875,342.8028564453125,0.7125433087348938,245.9552764892578
LinearRegressionModel_w/o_datetime,6.462495028972626,6.3448116183280945,76273.6328125,276.17681884765625,0.8420132696628571,207.16575622558594
LightGBMModel_w/o_datetime,7.910945723593277,7.524516738850709,115085.3165567921,339.242268234358,0.7799117079214322,251.54717508570357
XGBModel_w/o_datetime,7.812261581420898,7.4538372457027435,114258.1015625,338.0208740234375,0.7876952886581421,250.1090850830078
